ID,ふりがな,氏名,所属・役職,主な対応分野,顔写真,PDF
231,よしだ　たかし,吉田　孝志,"日本無線株式会社　デジタル変革推進本部　専門課長
元仙台高専　非常勤講師","デジタルデバイド対策,ネットワークインフラ
（Ｗｉ-Ｆｉ／ＬＰＷＡ／光ネットワーク）,生成AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7206.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/206_2025_ad.pdf
232,よしだ　ひろかず,吉田　博一,"元大阪公立大学　情報戦略課　課長代理
元大阪府職員　情報系職員","プロジェクトマネジメント支援,自治体システム調達
地域情報プラットフォーム,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7207.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/207_2025_ad.pdf
233,よしだ　みのる,吉田　稔,"Ｊ－ＬＩＳ被災者支援システム全国サポートセンター　センター長
ＮＰＯ関西情報化維新協議会「ＫＩＩＣ」　理事長","防災,自治体システムの標準化・共通化,自治体システム調達
地域情報プラットフォーム",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7208.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/208_2025_ad.pdf
234,よしだ　もとはる,吉田　基晴,"株式会社あわえ　代表取締役
株式会社四国の右下木の会社　代表取締役","地域ビジネス,スタートアップ支援（起業支援）,農林水産業",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7247.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/247_2025_ad.pdf
235,よしもと　あきひら,吉本　明平,"一般財団法人全国地域情報化推進協会　担当部長
関東学院大学　非常勤講師","計画策定支援,人材（ＤＸ推進のための機運の醸成）,自治体システムの標準化・共通化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7209.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/209_2025_ad.pdf
236,よねだ　むねよし,米田　宗義,"一般社団法人ＩＴＣ－Ｌａｂｏ．　代表理事
特定非営利活動法人ＩＴコーディネータ協会 副会長","計画策定支援,人材（ＤＸに関する知識習得・研修・育成）,行政手続オンライン化",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7210.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/210_2025_ad.pdf
237,わさき　ひろし,和﨑　宏,"インフォミーム株式会社　代表取締役
関西学院大学総合政策学部非常勤講師","生成AI活用,教育情報化／情報教育,デジタルデバイド対策",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7211.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/211_2025_ad.pdf
238,わしみ　ひでとし,鷲見　英利,"株式会社官民連携事業研究所　代表取締役
四條畷市　特別参与","地域ビジネス,スタートアップ支援（起業支援）,EBPM（エビデンスに基づく政策立案）",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7212.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/212_2025_ad.pdf
239,わだ　まさあき,和田　雅昭,"公立はこだて未来大学　副理事長
","農林水産業,,",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7213.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/213_2025_ad.pdf
240,わたなべ　たかし,渡邊　貴史,"リベラルアーツ合同会社 代表社員
一般社団法人生成AI活用普及協会 理事","スタートアップ支援（起業支援）,生成AI活用,スマートシティ",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7214.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/214_2025_ad.pdf
241,わたなべ　ともあき,渡辺　智暁,"国際大学GLOCOM主幹研究員／教授／研究部長
NPO法人コモンスフィア理事長","オープンデータ,EBPM（エビデンスに基づく政策立案）,AI活用",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7215.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/215_2025_ad.pdf
242,わたなべ　ともゆき,渡邊　智之,"スマートアグリコンサルタンツ合同会社 代表／ＣＥＯ
一般社団法人日本農業情報システム協会 理事","農林水産業,人材（ＤＸ推進のための機運の醸成）,計画策定支援",https://www.r-ict-advisor.jp/wordpress/wp-content/uploads/2025/04/R7216.jpg,https://www.r-ict-advisor.jp/prom/chiiki_adviser/R7_profile/216_2025_ad.pdf
